ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000003, 99, 0
sorted, 1000, 0.000005, 999, 0
sorted, 10000, 0.000033, 9999, 0
sorted, 100000, 0.000434, 99999, 0
reverse_sorted, 100, 0.000082, 9900, 4950
reverse_sorted, 1000, 0.008212, 999000, 499500
reverse_sorted, 10000, 0.227785, 99990000, 49995000
reverse_sorted, 100000, 18.330447, 9999900000, 4999950000
random, 100, 0.000023, 8652, 2500
random, 1000, 0.001610, 971627, 250122
random, 10000, 0.206832, 99032095, 25059394
random, 100000, 23.686018, 9964460354, 2503097979
