ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000010, 4950, 0
sorted, 1000, 0.000766, 499500, 0
sorted, 10000, 0.073427, 49995000, 0
sorted, 100000, 6.275729, 4999950000, 0
reverse_sorted, 100, 0.000013, 4950, 0
reverse_sorted, 1000, 0.000708, 499500, 0
reverse_sorted, 10000, 0.070292, 49995000, 0
reverse_sorted, 100000, 6.814027, 4999950000, 0
random, 100, 0.000016, 4950, 0
random, 1000, 0.001257, 499500, 0
random, 10000, 0.167130, 49995000, 0
random, 100000, 17.465556, 4999950000, 0
