ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000009, 1380, 640
sorted, 1000, 0.000116, 20416, 9708
sorted, 10000, 0.001078, 273912, 131956
sorted, 100000, 0.012647, 3401708, 1650854
reverse_sorted, 100, 0.000005, 1132, 516
reverse_sorted, 1000, 0.000083, 17632, 8316
reverse_sorted, 10000, 0.001004, 243392, 116696
reverse_sorted, 100000, 0.012579, 3094868, 1497434
random, 100, 0.000008, 1255, 577
random, 1000, 0.000109, 19138, 9069
random, 10000, 0.001320, 258281, 124140
random, 100000, 0.017642, 3249522, 1574761
