ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000000, 99, 0
sorted, 1000, 0.000003, 999, 0
sorted, 10000, 0.000015, 9999, 0
sorted, 100000, 0.000177, 99999, 0
reverse_sorted, 100, 0.000010, 4950, 4950
reverse_sorted, 1000, 0.000890, 499500, 499500
reverse_sorted, 10000, 0.081327, 49995000, 49995000
reverse_sorted, 100000, 8.283928, 4999950000, 4999950000
random, 100, 0.000006, 2596, 2500
random, 1000, 0.000440, 251116, 250122
random, 10000, 0.041379, 25069384, 25059394
random, 100000, 4.147703, 2503197965, 2503097979
