ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000006, 672, 672
sorted, 1000, 0.000051, 9976, 9976
sorted, 10000, 0.000570, 133616, 133616
sorted, 100000, 0.006727, 1668928, 1668928
reverse_sorted, 100, 0.000006, 672, 672
reverse_sorted, 1000, 0.000049, 9976, 9976
reverse_sorted, 10000, 0.000570, 133616, 133616
reverse_sorted, 100000, 0.006568, 1668928, 1668928
random, 100, 0.000007, 672, 672
random, 1000, 0.000084, 9976, 9976
random, 10000, 0.001043, 133616, 133616
random, 100000, 0.012624, 1668928, 1668928
