ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000003, 606, 63
sorted, 1000, 0.000018, 9009, 511
sorted, 10000, 0.000149, 125439, 5904
sorted, 100000, 0.001892, 1600016, 65535
reverse_sorted, 100, 0.000002, 610, 112
reverse_sorted, 1000, 0.000016, 9016, 1010
reverse_sorted, 10000, 0.000211, 125452, 10904
reverse_sorted, 100000, 0.002052, 1600030, 115534
random, 100, 0.000006, 864, 220
random, 1000, 0.000073, 12466, 2928
random, 10000, 0.000864, 166122, 37283
random, 100000, 0.010954, 2102961, 450019
