ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000001, 291, 0
sorted, 1000, 0.000007, 2991, 0
sorted, 10000, 0.000053, 29991, 0
sorted, 100000, 0.000590, 299991, 0
reverse_sorted, 100, 0.000003, 1223, 1030
reverse_sorted, 1000, 0.000210, 102293, 100300
reverse_sorted, 10000, 0.018563, 10022993, 10003000
reverse_sorted, 100000, 1.812481, 1000229993, 1000030000
random, 100, 0.000006, 934, 656
random, 1000, 0.000137, 57389, 54424
random, 10000, 0.010299, 5188187, 5158233
random, 100000, 0.965469, 505198185, 504898243
