ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000002, 99, 0
sorted, 1000, 0.000005, 999, 0
sorted, 10000, 0.000048, 9999, 0
sorted, 100000, 0.000965, 99999, 0
reverse_sorted, 100, 0.000072, 4950, 4950
reverse_sorted, 1000, 0.004932, 499500, 499500
reverse_sorted, 10000, 0.242444, 49995000, 49995000
reverse_sorted, 100000, 24.206900, 4999950000, 4999950000
random, 100, 0.000041, 4872, 2500
random, 1000, 0.002997, 498891, 250122
random, 10000, 0.235084, 49989071, 25059394
random, 100000, 38.186492, 4999879893, 2503097979
