ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000024, 4950, 0
sorted, 1000, 0.001938, 499500, 0
sorted, 10000, 0.106976, 49995000, 0
sorted, 100000, 10.360293, 4999950000, 0
reverse_sorted, 100, 0.000013, 4950, 0
reverse_sorted, 1000, 0.001386, 499500, 0
reverse_sorted, 10000, 0.125536, 49995000, 0
reverse_sorted, 100000, 11.885720, 4999950000, 0
random, 100, 0.000022, 4950, 0
random, 1000, 0.001989, 499500, 0
random, 10000, 0.225473, 49995000, 0
random, 100000, 23.419314, 4999950000, 0
