ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000019, 1380, 640
sorted, 1000, 0.000219, 20416, 9708
sorted, 10000, 0.002714, 273912, 131956
sorted, 100000, 0.022699, 3401708, 1650854
reverse_sorted, 100, 0.000009, 1132, 516
reverse_sorted, 1000, 0.000111, 17632, 8316
reverse_sorted, 10000, 0.001269, 243392, 116696
reverse_sorted, 100000, 0.016842, 3094868, 1497434
random, 100, 0.000009, 1255, 577
random, 1000, 0.000128, 19138, 9069
random, 10000, 0.001661, 258281, 124140
random, 100000, 0.021540, 3249522, 1574761
