ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000002, 99, 0
sorted, 1000, 0.000005, 999, 0
sorted, 10000, 0.000043, 9999, 0
sorted, 100000, 0.000434, 99999, 0
reverse_sorted, 100, 0.000027, 4950, 4950
reverse_sorted, 1000, 0.002311, 499500, 499500
reverse_sorted, 10000, 0.127439, 49995000, 49995000
reverse_sorted, 100000, 12.674021, 4999950000, 4999950000
random, 100, 0.000008, 2596, 2500
random, 1000, 0.000732, 251116, 250122
random, 10000, 0.062914, 25069384, 25059394
random, 100000, 6.335930, 2503197965, 2503097979
