ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000013, 672, 672
sorted, 1000, 0.000204, 9976, 9976
sorted, 10000, 0.001366, 133616, 133616
sorted, 100000, 0.011398, 1668928, 1668928
reverse_sorted, 100, 0.000007, 672, 672
reverse_sorted, 1000, 0.000063, 9976, 9976
reverse_sorted, 10000, 0.000730, 133616, 133616
reverse_sorted, 100000, 0.009334, 1668928, 1668928
random, 100, 0.000013, 672, 672
random, 1000, 0.000140, 9976, 9976
random, 10000, 0.001393, 133616, 133616
random, 100000, 0.015888, 1668928, 1668928
