ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000006, 606, 63
sorted, 1000, 0.000039, 9009, 511
sorted, 10000, 0.000523, 125439, 5904
sorted, 100000, 0.006833, 1600016, 65535
reverse_sorted, 100, 0.000004, 610, 112
reverse_sorted, 1000, 0.000037, 9016, 1010
reverse_sorted, 10000, 0.000398, 125452, 10904
reverse_sorted, 100000, 0.003595, 1600030, 115534
random, 100, 0.000009, 864, 220
random, 1000, 0.000096, 12466, 2928
random, 10000, 0.001150, 166122, 37283
random, 100000, 0.013861, 2102961, 450019
