ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000022, 4950, 0
sorted, 1000, 0.002189, 499500, 0
sorted, 10000, 0.130052, 49995000, 0
sorted, 100000, 12.515906, 4999950000, 0
reverse_sorted, 100, 0.000012, 4950, 50
reverse_sorted, 1000, 0.001176, 499500, 500
reverse_sorted, 10000, 0.114529, 49995000, 5000
reverse_sorted, 100000, 12.149389, 4999950000, 50000
random, 100, 0.000017, 4950, 95
random, 1000, 0.001274, 499500, 996
random, 10000, 0.118787, 49995000, 9991
random, 100000, 12.336498, 4999950000, 99987
