ordenação, n, tempo, comparações, trocas
sorted, 100, 0.000003, 291, 0
sorted, 1000, 0.000015, 2991, 0
sorted, 10000, 0.000140, 29991, 0
sorted, 100000, 0.001617, 299991, 0
reverse_sorted, 100, 0.000008, 1223, 1030
reverse_sorted, 1000, 0.000453, 102293, 100300
reverse_sorted, 10000, 0.029076, 10022993, 10003000
reverse_sorted, 100000, 2.277500, 1000229993, 1000030000
random, 100, 0.000006, 934, 656
random, 1000, 0.000186, 57389, 54424
random, 10000, 0.012147, 5188187, 5158233
random, 100000, 1.150082, 505198185, 504898243
